"candidate_name","win_count","avg_percentage"
"DAVID A TROTT",1,0.529323720381145
"DAVID B MCKINLEY",6,0.632160925101975
"DAVID C TREEN",2,0.866561872325561
"DAVID DAVIS",1,0.611107977301188
"DAVID DREIER",15,0.614688272144187
"DAVID E STURROCK",1,0.338414100561006
"DAVID F EMERY",3,0.624454660130998
"DAVID FUNDERBURK",1,0.560444070219134
"DAVID G REICHERT",6,0.565685663755578
"DAVID G VALADAO",5,0.54860154162094
"DAVID KUSTOFF",4,0.69716622361162
"DAVID L HOBSON",9,0.698989059516514
"DAVID M MCINTOSH",3,0.576417649082925
"DAVID O'B MARTIN",6,0.674539926798895
"DAVID P JOYCE",6,0.59492751724879
"DAVID P ROE",4,0.795219342489773
"DAVID RIVERA",1,0.52147290547742
"DAVID ROUZER",5,0.58752884581776
"DAVID SCHWEIKERT",7,0.568710835340509
"DAVID SMITH MONSON",1,0.493655077575038
"DAVID VITTER",2,0.88588572969863
"DAVID W JOLLY",1,0.752191648477475
"DAVID YOUNG",2,0.53102954572175
"DEAN A GALLO",5,0.657723441067496
"DEAN HELLER",3,0.55156688893569
"DEBBIE LESKO",3,0.705093025554731
"DEBORAH PRYCE",8,0.619580020936597
"DEL CLAWSON",1,0.550780866603158
"DELBERT L LATTA",5,0.641532791230202
"DELBERT LATTA",1,0.626176638510299
"DENNIS A ROSS",4,0.664714387439225
"DENNIS NEWINSKI",1,0.419427431989745
"DENNIS R NEWINKSI",1,0.397871080226573
"DENNIS R REHBERG",4,0.630105013819326
"DENNIS REHBERG",1,0.514999232682372
"DENNY REHBERG",1,0.604138857360112
"DENNY SMITH",5,0.530177220361028
"DENVER L RIGGLEMAN III",1,0.531763184809247
"DERRICK VAN ORDEN",1,0.51818685086279
"DEVIN G NUNES",1,0.527221545199862
"DEVIN NUNES",9,0.704999693555035
"DIANA HARSHBARGER",2,0.765141298763593
"DIANE BLACK",4,0.714655085273905
"DICK ARMEY",2,0.68683625014077
"DICK CHENEY",5,0.698640682108923
"DICK CHRYSLER",1,0.516107322537074
"DICK NICHOLS",1,0.592548242083979
"DICK ZIMMER",3,0.654205631470245
"DOC HASTINGS",9,0.632608185124171
"DON BACON",4,0.505066772238851
"DON H CLAUSEN",3,0.540397179546262
"DON RICHARDSON",2,0.744454403745991
"DON RITTER",6,0.583832954701416
"DON SHERWOOD",4,0.716803715996817
"DON SUNDQUIST",6,0.710954399347949
"DON YOUNG",21,0.5985137477489
"DONALD A MANZULLO",10,0.682406791063252
"DONALD E LUKENS",2,0.71959450481055
"DONALD E YOUNG",2,0.644039164850085
"DONALD J MITCHELL",3,0.755964241273657
"DONALD LAWRENCE RITTER",1,0.53187493450908
"DOROTHY LEGRAND",1,0.373437595579389
"DOUG ANDERSEN",1,0.218555488555439
"DOUG BEREUTER",12,0.701038794626466
"DOUG COLLINS",4,0.840911012932078
"DOUG LA MALFA",2,0.561345827279825
"DOUG LAMALFA",4,0.597876308633191
"DOUG LAMBORN",9,0.603367019768698
"DOUG OSE",3,0.570036731073439
"DOUGLAS K BEREUTER",1,0.581321481411897
"DREW FERGUSON",2,0.669364505949107
"DUNCAN D HUNTER",1,0.563670924254221
"DUNCAN HUNTER",18,0.672923650145863
"DUNCAN L HUNTER",1,0.532666439468356
"DUSTIN ""DUSTY"" JOHNSON",1,0.603467959972695
"DUSTY JOHNSON",2,0.791884984660252
"DVE WELDON",1,0.5371405494213
"E CLAY SHAW",1,0.66099201345103
"E CLAY SHAW JR",11,0.701302267249277
"E L ""BUDDY"" CARTER",1,0.609135401758332
"E SCOTT RIGELL",3,0.551886304564006
"E THOMAS COLEMAN",3,0.55468045497326
"EARL L ""BUDDY"" CARTER",3,0.718920827259593
"EARL L “BUDDY” CARTER",1,0.591472354289394
"ED BETHUNE",2,0.663890853753398
"ED BRYANT",4,0.736851790354174
"ED MATTHEWS",1,0.313070774449557
"ED WEBER",1,0.562146581372555
"ED WHITFIELD",11,0.625614379042421
"ED ZSCHAU",2,0.623116381934604
"EDWARD A PEASE",2,0.654109943688655
"EDWARD DERWINSKI",1,0.657878928398288
"EDWARD J DERWINSKI",2,0.674168836160473
"EDWARD L ""ED"" SCHROCK",1,0.519601335959942
"EDWARD L SCHROCK",1,0.831480383832882
"EDWARD MADIGAN",1,1
"EDWARD R MADIGAN",7,0.759387993256665
"EDWARD R ROYCE",13,0.636332210717407
"EDWARD W MUNSTER",1,0.492017123527546
"EDWIN B FORSYTHE",4,0.587333463012138
