"candidate_name","win_count","avg_percentage"
"DONALD J PEASE",8,0.639868364200309
"DONALD JOSEPH ALBOSTA",1,0.514743287289372
"DONALD L BONKER",1,0.600544249589653
"DONALD M FRASER",1,0.706624879854394
"DONALD M PAYNE",12,0.861376429323036
"DONALD M PAYNE JR",5,0.858903990955704
"DONALD M PAYNE, JR",1,0.776442289159413
"DONALD NORCROSS",3,0.615993958844955
"DONALD S BEYER JR",4,0.708397642378552
"DONALD S BEYER, JR",1,0.735342237558378
"DONALD W NORCROSS",2,0.609112172858529
"DONNA F EDWARDS",4,0.791535429002521
"DONNA SHALALA",1,0.517617761871204
"DORIS MATSUI",1,1
"DORIS O MATSUI",8,0.727355519399681
"DOUG BARNARD",2,0.999488009788145
"DOUG BARNARD JR",6,0.78286546339526
"DOUG WALGREN",6,0.613666497024316
"DOUGLAS ""PETE"" PETERSON",3,0.638957360817441
"DOUGLAS APPLEGATE",9,0.771793793334001
"DOUGLAS H BOSCO",4,0.606172780424105
"DOUGLAS WALGREN",1,0.594557453456717
"DWIGHT EVANS",4,0.924326965820873
"E ""KIKA"" DE LA GARZA",6,0.889871034572159
"E DE LA GARZA",4,0.713959566559896
"EAR POMEROY",1,0.529209754321601
"EARL BLUMENAUER",14,0.719616716369377
"EARL DEWITT HUTTO",1,0.632619732048506
"EARL F HILLIARD",5,0.780215382399286
"EARL HUTTO",7,0.672179381938692
"EARL POMEROY",8,0.575044474801929
"ED CASE",4,0.67863259869407
"ED JENKINS",8,0.733824088191798
"ED JONES",6,0.842407351185668
"ED PASTOR",11,0.691337246525063
"ED PERLMUTTER",8,0.568981837049971
"EDDIE BERNICE JOHNSON",15,0.798199388656249
"EDOLPHUS TOWNS",15,0.700192762017081
"EDWARD F FEIGHAN",5,0.608188659196613
"EDWARD I KOCH",1,0.66130154863407
"EDWARD J MARKEY",19,0.745353423087298
"EDWARD J PATTEN",2,0.536560758097619
"EDWARD J STACK",1,0.616405696614396
"EDWARD P BEARD",2,0.645526678683859
"EDWARD P BOLAND",6,0.692631089274358
"EDWARD R ROYBAL",8,0.742552970654378
"ELAINE G LURIA",2,0.513014713442093
"ELEANOR HOLMES NORTON",1,0.869866376893285
"ELIJAH CUMMINGS",1,0.764402553738053
"ELIJAH E CUMMINGS",11,0.797623586505554
"ELIOT L ENGEL",16,0.63243513930428
"ELISSA SLOTKIN",3,0.510724399291076
"ELIZABETH ESTY",1,0.483327890095766
"ELIZABETH FURSE",3,0.505268020576294
"ELIZABETH H ESTY",1,0.498150500935298
"ELIZABETH H ETSY",1,0.528982600086708
"ELIZABETH HOLTZMAN",2,0.746068618540114
"ELIZABETH J PATTERSON",1,0.613524544127008
"ELLEN O TAUSCHER",7,0.610845921099512
"ELLIIOTT H LEVITAS",1,0.654872938632063
"ELLIOTT H LEVITAS",3,0.728808973546621
"EMANUEL CLEAVER",8,0.590861382390656
"EMANUEL CLEAVER II",2,0.584326583427102
"EMILIA SYKES",1,0.526762514547711
"EMILY FIREBAUGH",1,0.372818078203667
"ERIC FINGERHUT",1,0.526316789758365
"ERIC J J MASSA",1,0.428007992242058
"ERIC J MASSA",1,0.436428637328167
"ERIC SORENSEN",1,0.51983716750385
"ERIC SWALWELL",6,0.761304752887857
"ESTEBAN E TORRES",3,0.611160385831796
"ESTEBAN ED TORRES",1,0.572438873154464
"ESTEBAN EDWARD TORRES",4,0.630192423098384
"EUGENE V ATKINSON",2,0.56783341990303
"EVA M CLAYTON",5,0.643716840122531
"FERNAND J ST GERMAIN",5,0.633872751828831
"FERNAND ST GERMAIN",1,0.612422360248447
"FILEMON B VELA",1,0.599889563005005
"FILEMON VELA",4,0.598672871739954
"FLOYD H FLAKE",6,0.649026361621819
"FLOYD J FITHIAN",3,0.551098600959872
"FORTNEY H ""PETE"" STARK",3,0.622628928621269
"FORTNEY H STARK JR",1,0.653763743799998
"FORTNEY PETE STARK",13,0.696426195549213
"FORTNEY PETER STARK",1,0.698952423863846
"FRANCIS CONOLE",1,0.485117581146138
"FRANCIS J PORDUM",1,0.404656075889066
"FRANCIS X MCCLOSKEY",1,0.513945586920424
"FRANK ANNUNZIO",8,0.668632228339998
"FRANK E EVANS",1,0.509621530314098
"FRANK ENRIQUEZ",1,0.879326088354447
"FRANK HARRISON",1,0.535195669683044
"FRANK J GUARINI",7,0.674245534815586
"FRANK J MRVAN",2,0.54738883349934
"FRANK M KRATOVIL JR",1,0.49119229915668
"FRANK MASCARA",4,0.677911857757389
"FRANK MCCLOSKEY",5,0.543850368010077
"FRANK PALLONE JR",17,0.608596903513085
"FRANK PALLONE, JR",1,0.574511002114439
"FRANK TEJEDA",3,0.777880802412233
"FRANK THOMPSON JR",2,0.636910138184107
"FRANK W BALLANCE JR",1,0.637376246091532
"FRED B ROONEY",1,0.652190065312481
"FREDERICA S WILSON",6,NA
"FREDERICA WILSON",1,1
"FREDERICK C ""RICK"" BOUCHER",3,0.671403592354943
"FREDERICK W RICHMOND",3,0.743376247122369
"G K BUTTERFIELD",9,0.705468534656898
"G V ""SONNY"" MONTGOMER",1,0.676182422818301
"G V ""SONNY"" MONTGOMERY",4,0.918765338532918
"GABRIEL VASQUEZ",1,0.503370996455134
"GABRIELLE GIFFORDS",3,0.525792833792611
"GARY A CONDIT",5,0.739591067759975
"GARY C PETERS",2,0.660100736639419
"GARY CONDIT",1,0.661849966957576
"GARY L ACKERMAN",14,0.584871510698676
"GARY PETERS",1,0.520824632134628
"GENE GREEN",13,0.78928756718692
"GENE TAYLOR",10,0.713340239901118
"GEO W CROCKETT JR",3,0.865811711937521
"GEORG E DANIELSON",1,0.743839309787005
"GEORGE ""BUDDY"" DARDEN",5,0.607622579135252
"GEORGE E BROWN JR",12,0.549393653333444
"GEORGE E DANIELSON",2,0.71781569984463
"GEORGE E SANGMEISTER",3,0.550495680730047
"GEORGE E SHIPLEY",1,0.614330754342833
"GEORGE J HOCHBRUECKNER",5,0.472045648043171
"GEORGE MAHON",1,0.546355166905947
"GEORGE MILLER",19,0.703956224972255
"GEORGE W CROCKETT",1,0.915363417154668
"GEORGE W CROCKETT JR",1,0.869668700959023
"GEORGETTE GOMEZ",1,1
"GERALD D KLECZKA",9,0.732830376398977
"GERALD E ""GERRY"" CONNOLLY",1,0.546878781388129
"GERALD E CONNOLLY",6,0.655036103784714
"GERALD EDWARD CONNOLLY",1,0.711081914030819
"GERALDINE A FERRARO",1,0.541740956038275
"GERALDINE FERRARO",2,0.65778467480403
"GERALDINE SAM",2,1.14143016488802
"GERLAD D KLECZKA",1,0.576421872052948
"GERRY E STUDDS",10,0.708153267996107
"GERRY SIKORSKI",3,0.59027782354201
"GIL CISNEROS",1,0.515571231581919
"GILLIS LONG",1,0.688936177985606
"GILLIS W LONG",4,0.985537757842764
"GLADYS NOON SPELLMAN",3,0.717985073746334
"GLEN BROWDER",3,0.658698879218784
"GLENN C NYE III",1,0.524016386478569
"GLENN ENGLISH",9,0.739043607812851
"GLENN F IVEY",1,0.900999318788318
"GLENN M ANDERSON",8,0.656411255447146
"GLENN POSHARD",5,0.68563333562631
"GLORIA NEGRETE MCLEOD",1,1
"GOERGE THOMAS ""MICKEY"" LELAND",1,0.967515387448051
"GOODLOE E BYRON",1,0.708369645371053
"GRACE F NAPOLITANO",11,0.749436918705265
"GRACE FLORES NAPOLITANO",2,0.682034573331247
"GRACE MENG",6,0.646205738362606
"GREG CASAR",1,0.725768334752027
"GREG LANDSMAN",1,0.527587579349285
"GREG LAUGHLIN",4,0.578087582818117
"GREG STANTON",3,0.596035866367573
"GREGORY W MEEKS",13,0.739576563280039
"GUN MCKAY",1,0.510299248888551
"GUNN MCKAY",1,0.581730715318972
"GUS SAVAGE",6,0.838179777668384
"GUS YATRON",8,0.719972115516601
"GV ""SONNY"" MONTGOMERY",5,0.963789690282126
"GWEN GRAHAM",1,0.504828248858996
"GWEN MOORE",9,0.740711270795732
"GWEN S MOORE",1,0.756121675510002
"H M MICHAUZ JR",1,0.679149524819
"H MARTIN LANCASTER",3,0.71230386348888
"HAKEEM S JEFFRIES",6,0.764755446849325
"HALEY M STEVENS",2,0.557584104450024
"HALEY STEVENS",1,0.518414025608362
"HANSEN CLARKE",1,0.793894991973307
"HARLEY O STAGGER JR",1,1
"HARLEY O STAGGERS",2,0.644481107391117
"HARLEY O STAGGERS JR",4,0.612326229872276
"HARLEY ROUDA",1,0.535519922914065
"HAROLD E FORD",9,0.701712448148284
"HAROLD E FORD JR",5,0.811345308637849
"HAROLD FORD",1,0.815751734473715
"HAROLD L VOLKMER",9,0.593520270662636
"HAROLD L WOLKMER",1,0.477142365163487
"HAROLD RUNNELS",2,0.851642628661195
"HAROLD T ""BIZZ"" JOHNSON",1,0.739470822427839
"HAROLD T JOHNSON",1,0.593524087812838
"HAROLD WASHINGTON",2,0.963813135315679
"HARRY A JOHNSTON",1,0.548519119923273
"HARRY E MITCHELL",1,0.531567777718331
"HARRY JOHNSTON",3,0.650621390207018
"HARRY MITCHELL",1,0.504123558239691
"HARRY REID",2,0.568290213574088
"HARRY TEAGUE",1,0.559580569375346
"HEATH SHULER",3,0.566999049444392
"HELEN S MEYNER",1,0.503661785880001
"HENRY A WAXMAN",17,0.706322353371457
"HENRY B GONZALES",2,0.957423522502803
"HENRY B GONZALEZ",9,0.865394692495981
"HENRY C ""HANK"" JOHNSON JR",8,0.822596730573511
"HENRY C “HANK” JOHNSON, JR",1,0.784852376702439
"HENRY CUELLAR",9,0.666213094642661
"HENRY J NOVAK",1,0.811817812064517
"HENRY J NOWAK",7,0.777773505528923
"HENRY S REUSS",3,0.759546309294538
"HENRY WAXMAN",1,0.613080623819248
"HENY A WAXMAN",1,0.677807402956676
"HERB KLEIN",1,0.470013797928367
"HERBERT E HARRIS II",2,0.510483514788505
"HERMAN BADILLO",1,0.887806508607311
"HILDA L SOLIS",5,0.832222646738004
"HILLARY SCHOLTEN",1,0.548659539570722
"HOWARD L BERMAN",15,0.70704306373255
"HOWARD WOLPE",7,0.554499882636564
"I T ""TIM"" VALENTINE JR",2,0.711388273804817
"IKE ANDREWS",4,0.647349804654913
"IKE SKELTON",17,0.681792552477336
"ILHAN OMAR",2,0.692978511380323
"ISADORE HALL III",1,1
"J J ""JAKE"" PICKLE",2,0.828841930990404
"J J PICKLE",3,0.697909281187369
"J LUIS CORREA",2,0.652724728390686
"J ROY ROWLAND",6,0.85136450024746
"JACK BRINKLEY",3,0.962327530193669
"JACK BROOKS",9,0.73580190785786
"JACK HIGHTOWER",4,0.631889654317319
"JACK REED",2,0.693255621119738
"JACKIE SPEIER",7,0.77954422394016
"JACKY ROSEN",1,0.472303778906172
"JAHANA HAYES",3,0.513972249678464
"JAKE AUCHINCLOSS",2,0.635132532435253
"JAMAAL BOWMAN",2,0.633286310218776
"JAMES A ""JIMMY"" HAYES",1,1
"JAMES A BARCIA",5,0.682364757178764
"JAMES A BURKE",1,0.689796132003873
"JAMES A HAYES",3,1
"JAMES A HIMES",6,0.567503421100784
"JAMES A TRAFICANT JR",9,0.723565782249602
"JAMES C CORMAN",2,0.630091480481493
"JAMES E CLYBRUN",1,0.652601002861455
"JAMES E CLYBURN",14,0.69471443274346
"JAMES E JIM CLYBURN",1,0.701268692505559
