,id,givenName,familyName,middleName,unaccentedGivenName,unaccentedFamilyName,unaccentedMiddleName,nickName,honorificPrefix,honorificSuffix,honorificTitle,birthYear,deathYear,position,congressNumber,stateName,parties,electionCirca,electionDate,leadershipPositions,electionYear,ageDuringElection
164,A000210,Robert,Andrews,Ernest,Robert,Andrews,Ernest,,,,,1957,,Representative,111,NJ,['Democrat'],,,,2008,51
165,A000210,Robert,Andrews,Ernest,Robert,Andrews,Ernest,,,,,1957,,Representative,104,NJ,['Democrat'],,,,1994,37
166,A000210,Robert,Andrews,Ernest,Robert,Andrews,Ernest,,,,,1957,,Representative,101,NJ,['Democrat'],False,,,1988,31
167,A000210,Robert,Andrews,Ernest,Robert,Andrews,Ernest,,,,,1957,,Representative,103,NJ,['Democrat'],,,,1992,35
168,A000210,Robert,Andrews,Ernest,Robert,Andrews,Ernest,,,,,1957,,Representative,102,NJ,['Democrat'],,,,1990,33
169,A000210,Robert,Andrews,Ernest,Robert,Andrews,Ernest,,,,,1957,,Representative,107,NJ,['Democrat'],,,,2000,43
170,A000210,Robert,Andrews,Ernest,Robert,Andrews,Ernest,,,,,1957,,Representative,105,NJ,['Democrat'],,,,1996,39
171,A000210,Robert,Andrews,Ernest,Robert,Andrews,Ernest,,,,,1957,,Representative,108,NJ,['Democrat'],,,,2002,45
172,A000210,Robert,Andrews,Ernest,Robert,Andrews,Ernest,,,,,1957,,Representative,109,NJ,['Democrat'],,,,2004,47
173,A000210,Robert,Andrews,Ernest,Robert,Andrews,Ernest,,,,,1957,,Representative,112,NJ,['Democrat'],,,,2010,53
174,A000211,Thomas,Andrews,Hiram,Thomas,Andrews,Hiram,,,,,1953,,Representative,102,ME,['Democrat'],,,,1990,37
175,A000211,Thomas,Andrews,Hiram,Thomas,Andrews,Hiram,,,,,1953,,Representative,103,ME,['Democrat'],,,,1992,39
176,A000212,Frank,Annunzio,,Frank,Annunzio,,,,,,1915,2001.0,Representative,89,IL,['Democrat'],,,,1964,49
177,A000212,Frank,Annunzio,,Frank,Annunzio,,,,,,1915,2001.0,Representative,90,IL,['Democrat'],,,,1966,51
178,A000212,Frank,Annunzio,,Frank,Annunzio,,,,,,1915,2001.0,Representative,91,IL,['Democrat'],,,,1968,53
179,A000212,Frank,Annunzio,,Frank,Annunzio,,,,,,1915,2001.0,Representative,92,IL,['Democrat'],,,,1970,55
180,A000212,Frank,Annunzio,,Frank,Annunzio,,,,,,1915,2001.0,Representative,93,IL,['Democrat'],,,,1972,57
181,A000212,Frank,Annunzio,,Frank,Annunzio,,,,,,1915,2001.0,Representative,94,IL,['Democrat'],,,,1974,59
182,A000212,Frank,Annunzio,,Frank,Annunzio,,,,,,1915,2001.0,Representative,95,IL,['Democrat'],,,,1976,61
183,A000212,Frank,Annunzio,,Frank,Annunzio,,,,,,1915,2001.0,Representative,96,IL,['Democrat'],,,,1978,63
184,A000212,Frank,Annunzio,,Frank,Annunzio,,,,,,1915,2001.0,Representative,97,IL,['Democrat'],,,,1980,65
185,A000212,Frank,Annunzio,,Frank,Annunzio,,,,,,1915,2001.0,Representative,98,IL,['Democrat'],,,,1982,67
186,A000212,Frank,Annunzio,,Frank,Annunzio,,,,,,1915,2001.0,Representative,99,IL,['Democrat'],,,,1984,69
187,A000212,Frank,Annunzio,,Frank,Annunzio,,,,,,1915,2001.0,Representative,100,IL,['Democrat'],,,,1986,71
188,A000212,Frank,Annunzio,,Frank,Annunzio,,,,,,1915,2001.0,Representative,101,IL,['Democrat'],,,,1988,73
189,A000212,Frank,Annunzio,,Frank,Annunzio,,,,,,1915,2001.0,Representative,102,IL,['Democrat'],,,,1990,75
190,A000213,Beryl,Anthony,Franklin,Beryl,Anthony,Franklin,,,Jr.,,1938,,Representative,96,AR,['Democrat'],,,,1978,40
191,A000213,Beryl,Anthony,Franklin,Beryl,Anthony,Franklin,,,Jr.,,1938,,Representative,97,AR,['Democrat'],,,,1980,42
192,A000213,Beryl,Anthony,Franklin,Beryl,Anthony,Franklin,,,Jr.,,1938,,Representative,98,AR,['Democrat'],,,,1982,44
193,A000213,Beryl,Anthony,Franklin,Beryl,Anthony,Franklin,,,Jr.,,1938,,Representative,99,AR,['Democrat'],,,,1984,46
194,A000213,Beryl,Anthony,Franklin,Beryl,Anthony,Franklin,,,Jr.,,1938,,Representative,100,AR,['Democrat'],,,,1986,48
195,A000213,Beryl,Anthony,Franklin,Beryl,Anthony,Franklin,,,Jr.,,1938,,Representative,101,AR,['Democrat'],,,,1988,50
196,A000213,Beryl,Anthony,Franklin,Beryl,Anthony,Franklin,,,Jr.,,1938,,Representative,102,AR,['Democrat'],,,,1990,52
197,A000214,Douglas,Applegate,Earl,Douglas,Applegate,Earl,,,,,1928,2021.0,Representative,103,OH,['Democrat'],,,,1992,64
